"Class","Object line Coverage","Traditional line Coverage"
"com.google.common.graph.ElementOrder","0.440","0.440"
"com.google.common.graph.StandardMutableValueGraph","0.129","0.046"
"com.google.common.graph.ImmutableGraph$Builder","0.222","0.222"
"com.google.common.graph.StandardMutableGraph","0.259","0.273"
"com.google.common.graph.GraphBuilder","0.967","0.958"
