"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"GraphBuilder.java-IHI-6","IHI","killed","19","4"
"GraphBuilder.java-IHI-1","IHI","live","19","0"
"GraphBuilder.java-IHI-2","IHI","live","19","0"
"GraphBuilder.java-IHI-3","IHI","killed","19","3"
"GraphBuilder.java-IHI-4","IHI","killed","19","2"
"GraphBuilder.java-IHI-5","IHI","killed","19","5"
"GraphBuilder-IPC-1","IPC","killed","19","2"
"GraphBuilder-IPC-2","IPC","killed","19","1"
