"Class","Object line Coverage","Traditional line Coverage"
"org.apache.commons.collections4.map.AbstractLinkedMap$EntrySetIterator","0.325","0.750"
"org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator$EntrySet","0.158","0.158"
"org.apache.commons.collections4.map.LinkedMap","0.216","0.045"
"org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator$EntrySetIterator","1.000","1.000"
"org.apache.commons.collections4.map.TransformedMap","0.100","0.484"
"org.apache.commons.collections4.map.AbstractLinkedMap$LinkEntry","0.375","1.000"
"org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator$MapEntry","0.500","0.500"
"org.apache.commons.collections4.map.AbstractHashedMap$EntrySet","0.167","0.167"
"org.apache.commons.collections4.map.TransformedSortedMap","0.507","1.000"
