"Mutant","Mutant Type","Status "," #Tests "," #Fails "
"LongValidator.java-JID-1","JID","killed","38","19"
"LongValidator.java-OM-1","OM","killed","38","2"
"LongValidator.java-OM-2","OM","killed","38","2"
"LongValidator.java-OM-3","OM","live","38","0"
"AbstractFormatValidator.java-OMD-1","OMD","live","38","0"
"AbstractFormatValidator.java-OMD-2","OMD","live","38","0"
"LongValidatorAndParents-JDC-1","JDC","live","38","0"
"LongValidatorAndParents-IPC-1","IPC","live","38","0"
"LongValidatorAndParents-IPC-2","IPC","live","38","0"
