"Class","Object line Coverage","Traditional line Coverage"
"org.ta4j.core.indicators.MACDIndicator","0.206","0.750"
"org.ta4j.core.indicators.EMAIndicator","0.179","1.000"
"org.ta4j.core.indicators.helpers.MedianPriceIndicator","0.136","0.250"
"org.ta4j.core.indicators.AwesomeOscillatorIndicator","0.194","0.571"
"org.ta4j.core.indicators.ROCIndicator","0.172","0.333"
"org.ta4j.core.indicators.helpers.ClosePriceIndicator","0.164","1.000"
"org.ta4j.core.indicators.helpers.HighPriceIndicator","0.164","1.000"
"org.ta4j.core.indicators.DPOIndicator","0.219","0.667"
"org.ta4j.core.indicators.SMAIndicator","0.154","0.300"
