"Class","Object line Coverage","Traditional line Coverage"
"org.ta4j.core.indicators.ATRIndicator","0.136","0.500"
"org.ta4j.core.indicators.ChopIndicator","0.176","0.385"
"org.ta4j.core.indicators.helpers.LowestValueIndicator","0.147","0.231"
"org.ta4j.core.indicators.MMAIndicator","0.179","1.000"
"org.ta4j.core.indicators.helpers.HighPriceIndicator","0.164","1.000"
"org.ta4j.core.indicators.helpers.LowPriceIndicator","0.164","1.000"
"org.ta4j.core.indicators.helpers.HighestValueIndicator","0.147","0.231"
"org.ta4j.core.indicators.helpers.TRIndicator","0.127","0.125"
