"Class","Object line Coverage","Traditional line Coverage"
"com.google.common.graph.ElementOrder","0.280","0.280"
"com.google.common.graph.MapIteratorCache$1","0.600","0.600"
"com.google.common.graph.MapIteratorCache$1$1","0.250","0.250"
"com.google.common.graph.NetworkBuilder","1.000","1.000"
"com.google.common.graph.ImmutableNetwork$Builder","0.222","0.222"
"com.google.common.graph.StandardMutableNetwork","0.160","0.016"
"com.google.common.graph.StandardNetwork","0.326","0.372"
"com.google.common.graph.ImmutableNetwork","0.326","0.667"
