TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jtetris.models.elements.Screen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9344512195121951,86,85
org.jtetris.models.elements.Square,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,10,10
