"Class","Object line Coverage","Traditional line Coverage"
"org.apache.bcel.classfile.Code","0.612","0.606"
"org.apache.bcel.classfile.EmptyVisitor","0.034","0.034"
"org.apache.bcel.classfile.ModuleMainClass","0.167","0.095"
"org.apache.bcel.classfile.ConstantPool","0.019","0.019"
