"Class","Object line Coverage","Traditional line Coverage"
"org.apache.commons.collections4.map.PassiveExpiringMap","0.847","0.903"
"org.apache.commons.collections4.map.PassiveExpiringMap$ConstantTimeToLiveExpirationPolicy","0.900","0.900"
